,comments,Positive,Neutral,Negative,Compound
0,"Came to this store first time and really impressed with the staff who assisted us., Soon. The furniture displayed very nicely. You're not rushed to make selections or buy anything. Soon was there to show us around, explaining the items, …",0.157,0.843,0.0,0.254575
1,One of the highly recommended chair is kinsley teak model. If you are looking at pure wooden chair for your dining set.,0.0945,0.9055,0.0,0.1358
2,Excellent service! Reasonable pricing and good quality. Ronny was outgoing and provided detailed explanation in regards to the wood choices. The lady (PeiShan)  at the counter greeted us with a friendly gesture.,0.42775,0.57225,0.0,0.4793
3,"Excellent collection and range, nice designs, helpful staff, realistic service. Neither expensive now cheap but best part is Fixed price. Only negative is Odd location.",0.321,0.45666666666666667,0.22233333333333336,0.30393333333333333
4,Wide variety of woodworks. Some of them have rather unique designs.,0.0,1.0,0.0,0.0
5,Service was good. Price is decent but the product i want need a lead time of 2 to 3months and all natural wood will come different. Concern that the wood grain may not come nice when delivered. The air at bed frame department is very dusty.,0.19075,0.762,0.04725,0.151975
6,"extremely friendliness experience with the staffs services, and vast variety of timber product for every household needs, thanks n will be there again",0.236,0.764,0.0,0.7346
7,"I bought a Wilton two panel teak divider from Wihardja, and after two weeks of taking delivery, I noticed a major crack in one of the wooden slots which was not easily noticeable due to the dark colour of the panel.  I contacted Wihardja …",0.0,0.973,0.027,-0.1292
8,"A wide range of furniture , service excellent and nice shop to go .",0.419,0.581,0.0,0.7579
9,I had a very good experience at Wihardja Furniture Singapore at Sungei Kadut. The staffs are very friendly. The showroom is very big. The items are all in a very good and solid condition. Highly recommended to everybody. Please come to Wihardja Furniture Singapore at Sungei Kadut. Thank you.,0.34285714285714286,0.6571428571428571,0.0,0.3540142857142857
10,"Love the teak wood furnitures from Wihardja! Probably our third time here to purchase their furnitures. The sofa, tv console and tables are lasting and sturdy. Recommended 👏🏻👏🏻👏🏻",0.25275000000000003,0.74725,0.0,0.18585000000000002
11,Great experience. The staffs are very friendly and helpful. Showroom is big and has a wide variety of furnitures that suits our preferences.,0.457,0.543,0.0,0.4623
12,Back here again to get our furniture.good service. Solid material. Affordable price.,0.205,0.795,0.0,0.05103333333333334
13,We waited for 15 mins but the salespeople completely ignored us...did not even acknowledge our presence. When we walked upto them and asked if someone can help they replied rudely. We just walked out post that. Not sure what world they live in!!!,0.030199999999999998,0.6376,0.13219999999999998,-0.20476
14,Wide range of furniture at reasonable prices. Salesman Kar soon was cheerful helpful and informative.,0.256,0.744,0.0,0.3715
15,Visited the shop with my family. Managed to buy a bed frame and sofa. It's going to be a 2 months wait since it's customised. I like the friendly and patient sales person that share her knowledge and bring up the concerns which I did not …,0.08275,0.91725,0.0,0.196125
16,"Price reasonable, service was great.",0.506,0.494,0.0,0.6249
17,"We came here for getting a custom made table for our kitchen. They understood our requirements and offered a few options of the design. We liked the quality and price and already ordered the table. It's a nice store and the have lots of options, specially in Teak wood. We also got bed side table from here. Highly recommended.",0.18083333333333335,0.8191666666666667,0.0,0.18576666666666666
18,"Variety of items available. Managed to seats for purchase. Despite near closing time, staffs were very bubbly,helpful,attentive to my needs. Thanks team. Pleasant Experience.",0.3022,0.6978,0.0,0.1902
19,"Friendly, helpful and knowledge staff and beautiful, sturdy, solid wood furniture. Might a little overwhelming at some parts of the showroom. Lots of up to date designs to choose from. Get the feel of the actual pieces of furniture, or pick from the catalog. You can customize or even have them copy a design you fancy.",0.1244,0.8756,0.0,0.1777
20,Furniture very sturdy. To my liking.,0.287,0.713,0.0,0.20095
21,"After doing some intensive research on the teak wood furniture scene in Singapore, we decided on coming down and make our first teak purchase! The affordability and design was our first 2 consideration and the quality of the wood was …",0.0,1.0,0.0,0.0
22,Good quality,0.714,0.286,0.0,0.3612
23,V helpful with suggestions. Patient in answering our queries,0.2915,0.7085,0.0,0.21075
24,The showroom provides a variety of furniture for home owners to choose. The environment is cool and quiet. Excellent for making good decisions in purchasing the furniture. The salespersons are friendly and welcoming. Will come again in the future if more furniture is needed.,0.2778,0.7222000000000001,0.0,0.35603999999999997
25,"Hidden in a metalwork factory, may miss it on first pass. Nice selection of wooden furniture at reasonable prices.",0.143,0.7815,0.0755,0.13419999999999999
26,Wide range of wood furniture to suite my taste.,0.0,1.0,0.0,0.0
27,"I had my king size bed customized back then, come back to buy another set of bed for my parent. Best place to shop teak wood product with a lot of wood collection down here too. Strongly recommended!",0.4103333333333333,0.5896666666666667,0.0,0.3765
28,"Very friendly staff, very accomodating",0.466,0.534,0.0,0.5413
29,Service was great! Staff was knowledgable and accommodating to our needs. Would definitely buy from them again :),0.4066666666666667,0.5933333333333334,0.0,0.4498666666666667
30,"Positives - staff are friendly and helpful, and there is quite a wide range of teak furniture at reasonable prices.

Negative - getting into the compound and a parking lot can be a hassle, especially if there is a queue of cars trying to enter at the same time.",0.1925,0.7404999999999999,0.067,0.14180000000000004
31,Great range of furniture. Custom specifications are possible. Great place for the budget conscious looking for 100% teak wood furniture. Very helpful sales assistant too. It's now my first stop for all my furniture needs.,0.257,0.7038,0.0392,0.28584
32,Great experience shopping for furniture here. Found the dining table that we like and the buying process was well explained and the Sales staff were polite and professional. Will recommend friends over.,0.4583333333333333,0.5416666666666666,0.0,0.6210333333333333
33,Gd service and helpful.,0.483,0.517,0.0,0.4215
34,Furniture could be customized and its solid wood from Indo. Though the place is a bit unexpected above a metal factory. Friendly staff.,0.30433333333333334,0.6956666666666667,0.0,0.21566666666666667
35,Easy walk around and helpful staff.,0.588,0.412,0.0,0.6908
36,Awesome place that provides a wide variety of teak furniture. Designs are really unique and highly recommend home owners to drop by! (p/s: prices are so affordable here!) hurry down now!,0.1355,0.8300000000000001,0.0345,0.21785
37,Great place to shop for furniture,0.451,0.549,0.0,0.6249
38,Good range of teak wood furniture..,0.333,0.667,0.0,0.3612
39,"Affordable and quality products. Good customer service, patient, friendly and helpful staff. Recommended.",0.5433333333333333,0.45666666666666667,0.0,0.33996666666666664
40,"The  staff are very friendly, specially kar soon.",0.333,0.667,0.0,0.5413
41,"I like the place, spacious and the range of furniture. We were greeted by a pleasant salesperson. She was helpful and patient. Would definitely come back for more and will surely recommend this place to friends. Thank you for the good service.",0.4628,0.5372,0.0,0.58848
42,Inaccessible. Worksmanship so so. Reasonable price. Only 1 staff.,0.0,1.0,0.0,0.0
43,So nice friendly staff and good stuff for home.,0.602,0.398,0.0,0.8431
44,Interesting and cool place. No regrets making a trip here.,0.357,0.33799999999999997,0.305,0.020250000000000046
45,We came here for bed frame and 🛋. Nice experience because we can customize the size and the Salesperson have a good knowledge.. Recommend place to go,0.25366666666666665,0.7463333333333333,0.0,0.3366
