,comments,Positive,Neutral,Negative,Compound
0,"(Translated by Google) 3 Penguins 4 Space's 3 Lovers 4QQ

(Original)
3企鹅啊4空间的3爱人4QQ",0.298,0.702,0.0,0.5267
1,"(Translated by Google) Alson’s service is good. Very patiently introduce your sofas one by one until my mother is satisfied. Alson answered every question of my mother with a smile, making my mother feel comfortable shopping here.

(Original)
Alson的服务很好。很有耐心的一一介绍你们的沙发，直到我妈妈满意为止。Alson 带着笑容回答我妈妈的每一个问题，让我妈妈觉得在这里购物很舒服。",0.194,0.806,0.0,0.37075
2,"(Translated by Google) Not recommended! Some things seem to be cheap at the price, but it ’s really a matter of a year to buy it back, and the quality is not as good as IKEA. For repeat customers and the like, whoever buys and regrets it, …",0.07666666666666666,0.729,0.19466666666666665,-0.16336666666666666
3,"(Translated by Google) The furniture is very durable. . Good

(Original)
家具很耐用。。good",0.18533333333333335,0.48133333333333334,0.0,0.12040000000000001
4,"(Translated by Google) The price is clear, and the waiter has a good attitude, making it a good shopping choice.

(Original)
价格明确，服务员态度良好，是不错的購物选择。",0.168,0.8320000000000001,0.0,0.3825
5,"A good selection of furnishing with different styles and variety to suit different styles.

Was served by Jasmine Lau who was patient and professional and knowledgeable in her product knowledge. She was very helpful and gave also her …",0.15933333333333333,0.8406666666666667,0.0,0.27886666666666665
6,"A great place to look for furnitures such as chairs, dining tables, sofas, lamps etc. Furthermore, a shuttle bus service is provided, serving commuters to-and-fro the place itself from Yew Tee MRT station",0.12,0.88,0.0,0.31245
7,"Accompany friend to check out some furniture.  Some items' designs are not bad; some items' pricing are quite reasonable.  Has a lift internally, handicap friendly. Toilet a available but don't expect a 4* standard.",0.2495,0.7505000000000001,0.0,0.3547
8,"After purchasing online furNiture and ceiling lights with a fraction of the price delivered to doorstep or self collect at designated spot, these furniture and lighting with brick and mortar shops will be a dying trade in years or if not months ahead.",0.0,1.0,0.0,0.0
9,Alot of furniture,0.0,1.0,0.0,0.0
10,Am very happy with the service.,0.444,0.556,0.0,0.6115
11,"amazing customer service, very friendly and helpful towards all customers and information is well informed.",0.531,0.469,0.0,0.9092
12,"Andrew from star living was very friendly and thoughtful giving us constructive ideas in our selection of pieces. He was very patient and helpful, answering all our queries knowledgeably. Thank you Andrew!",0.39566666666666667,0.6043333333333334,0.0,0.5733
13,"Andrew, the sales executive attended to us on the 26th June was very helpful, courteous and gave us very honest advices according to our situation when doing comparison across our shortlisted items.
Thank u so much! It was a pleasant experience.",0.456,0.544,0.0,0.6043000000000001
14,"Appreciate TC Tan patience to serve me. He demonstrate great service to customer as I recommend him to other.

Great job to him",0.43666666666666665,0.5633333333333332,0.0,0.5972666666666666
15,Bad experience with the quality and service rendered,0.0,0.667,0.333,-0.5423
16,Basic furniture - better than IKEA . Affordable prices. Nothing fancy here.,0.13999999999999999,0.86,0.0,0.1468
17,Beautiful range if furniture,0.565,0.435,0.0,0.5994
18,"Big ample parking space. Staff normally do not bother you, when you look around for furniture. Find it weird initially, maybe they have a certain queue system to serve customers. Though I bought a sofa set from them. I still find the staff weird! 😅😆",0.049666666666666665,0.8758333333333334,0.07450000000000001,0.018833333333333337
19,Big place to look ard,0.0,1.0,0.0,0.0
20,Big range of Furnitures and is on offer,0.0,1.0,0.0,0.0
21,Big showroom with providing free carpark. Sales staffs are friendly and professional,0.394,0.606,0.0,0.5022500000000001
22,"Bigger and spacious store, quite alots of products range, free parking, friendly staffs.
And toilet within the store that's the best part for this store.

Only things is not much discount as most items are fix price",0.21566666666666667,0.7843333333333333,0.0,0.46493333333333337
23,"Bought a computer desk.
Great salesperson.
Fast delivery
Very pleasant and smooth transaction.",0.393,0.607,0.0,0.3937333333333333
24,Bought a dining table today - served by Smindy! Young and sweet lady! Super patience too! Not pushy and therefore can decide within a short time to buy the dining table with her precise intro! Will go to her again next time when I want to buy a bed for my girl! 🙏🏻🙏🏻🙏🏻👍🏻👍🏻👍🏻,0.23533333333333334,0.7646666666666667,0.0,0.26183333333333336
25,"Bought a dinning table there, was served by a staff named Jasmine. She is very friendly, patient and knowledgeable. Highly recommended to purchase here as they have great item and service.",0.25,0.75,0.0,0.4253
26,Bought a new sofa at Star Living.  Smindy is great salesperson. She gave great suggestion.  Will come again.,0.2885,0.7115,0.0,0.31245
27,Bought a sofa from a nice salesman named Li Quan. Informative without being pushy.  Value for money,0.4026666666666667,0.5973333333333333,0.0,0.3224
28,"Bought dining table and was served by smindy, pleasant and detailed tour to find the ideal set",0.309,0.691,0.0,0.7717
29,"Call 6362 7077 this number to enquirer about the dresser i have order online. But all i gotten was ""What"" and "" i dont know"". My order how ?",0.034333333333333334,0.9656666666666667,0.0,0.03213333333333333
30,"Can experience various furniture n the sale person is well trained, friendly manners.",0.346,0.654,0.0,0.6486
31,Cool place with cool living design,0.535,0.465,0.0,0.5574
32,Courteous service and helpful people in the self collection store.,0.433,0.567,0.0,0.7269
33,deleted my old review. rude and unprofessional.,0.0,0.5685,0.4315,-0.3715
34,Dropped by to use the toilet and to pray. Thank you for your help. An oasis in the desert.,0.2856666666666667,0.7143333333333334,0.0,0.3183666666666667
35,Durable goods,0.0,1.0,0.0,0.0
36,Elgant furniture with some discounts to consider. It brings joy to see their designs after all.,0.161,0.839,0.0,0.29295
37,"Enjoyable experience =). Smindy is very helpful, friendly and provides valuable insight to our needs. 😀",0.37,0.29666666666666663,0.0,0.43506666666666666
38,Excellent customer service. Very friendly and patient staffs.,0.5575,0.4425,0.0,0.5566
39,"Excellent service from Shirley. Very patient, friendly and accommodating to our requests.",0.44200000000000006,0.558,0.0,0.55545
40,Free parking! Nice place to browse,0.6325000000000001,0.3675,0.0,0.48885
41,Friendly and helpful service. Good experience.,0.732,0.268,0.0,0.5398000000000001
42,Friendly and polite staffs,0.516,0.484,0.0,0.4939
43,Friendly chinese lady staff Sminfy Wong to show me around and helping me make my decisions in my purchase.,0.241,0.759,0.0,0.6597
