,comments,Positive,Neutral,Negative,Compound
0,Good quality! ,0.736,0.264,0.0,0.4199
1,"Very accomodating customer service, helped me to postpone delivery twice.

Delivery and assembly team was very efficient, in and out in 10 minutes.",0.1025,0.8105,0.087,0.12455
2,"Solidly built, eyeing this for 6 months and bought it only when price is reasonable during 3.3 sales. Collection is OK since only a stone throw from my house.",0.123,0.877,0.0,0.2233
3,"Highly recommended! Shipping was quick with regular updates from the seller, and item was received well packed. Will definitely purchase again next time!",0.40299999999999997,0.597,0.0,0.3557666666666667
4,rcvd in full n good condition,0.385,0.615,0.0,0.3612
5,Great quality & sturdy. Nice furnishing. Hope it will last long! ,0.6176666666666667,0.38233333333333336,0.0,0.513
6,Quite pricey but quality not bad. Easy to move around and not too heavy.,0.3615,0.6385,0.0,0.5114000000000001
7,"Item delivery took quite awhile, other than that the stand look sturdy but abit smaller than imagine.",0.0,1.0,0.0,0.0
8,Received the chair yesterday at this condition ,0.0,1.0,0.0,0.0
9,"Good quality. Took more than a month to arrive though which was different from the indicated date. Thankfully, seller was responsive enough. ",0.451,0.5489999999999999,0.0,0.3366
10,Good product ,0.714,0.286,0.0,0.3612
11,Item arrived with an assembly kit and was delivered in good condition,0.185,0.815,0.0,0.3612
12,Delivery take more than a week . Direct delivery by seller and service is good. Like the cabinet very much and it fit well in my living room. ,0.226,0.774,0.0,0.3627
13,Bed frame was delivered 9 days after placing order. It is sturdy and good. Satisfied with purchase. ,0.32266666666666666,0.6773333333333333,0.0,0.2609
14,Good deal. Delivery person was punctual,0.357,0.643,0.0,0.1806
15,The nest of 3 little tables are very handsome and sturdy. You do have to pay for Scanteak but the brand is a promise of quality ,0.2315,0.7315,0.037,0.47655000000000003
16,Bought it during double 11 event. Beautiful piece of serving boards. Seller taken action promptly to my request about defect item and let me exchanged it at SINGPOST show room. Recommended for their great service,0.28925,0.68125,0.0295,0.24225000000000002
17,"Received in good condition. 
Nice small wooden serving board. Thickness is only 0.8mm. ",0.289,0.711,0.0,0.2609
18,Item came in good condition! Thanks Seller!,0.586,0.414,0.0,0.45625
19,Good solid item,0.804,0.196,0.0,0.4767
20,"The item was delivered on time as committed. 
No QC done on the furniture, the bookshelf was badly done that it went one sided which makes the shelf wobble (as seen in video).

The customer service (Sunny Chua) was good  managed the situation very well and replacement unit was in good shape. ",0.18233333333333335,0.7553333333333333,0.06233333333333333,0.12490000000000001
21,Received in good condition,0.455,0.545,0.0,0.3612
22,Repeat purchase and good price during promotion. ,0.294,0.706,0.0,0.3612
