,comments,Positive,Neutral,Negative,Compound
0,"Huge showroom exhibit furnishing ideas for home planning. Love the scandi-themed, marble-ish and light wood furniture here!

Staffs are attentive and knowledgeable of the products. Gives good recommendations on how to coordinate and match …",0.19724999999999998,0.80275,0.0,0.305125
1,"This place is amazing, staff are friendly and knowledgeable. Very patient and obliging. Got a sofa and coffee table here. The material used in their furniture is in my opinion, durable and chic design. Highly recommend!",0.2788,0.7212,0.0,0.30756
2,"The Castlery furniture was beautiful, the sofas have a modern look as well as comfort factor.
Prices are competitive and the showroom staff is ever ready for any queries. Will highly recommend it and the showroom is worth a visit.",0.3536666666666667,0.6463333333333333,0.0,0.6274666666666666
3,"Was really able to mix and match and get my choice of furniture at their showroom. Their staff is very accommodating. Nikki took the time to listen to our needs and gave us expert opinions to help make a decision. Always come back here thanks to their designs of clean lines and neutral palettes, all in an affordable budget",0.09625,0.90375,0.0,0.270675
4,"Modern and stylish local brand that showcases high quality furniture. Was impressed with their minimalistic and clean designs, as well as their coloring palette. Would recommend if you’re getting some furniture! The staff that I interacted …",0.184,0.8160000000000001,0.0,0.3011
5,"Ivy assisted us with our purchase of a sofa, ottoman and a TV console - she was super helpful in the process and answered all of our queries patiently and promptly! Great service and would highly recommend shopping at Castlery.",0.354,0.646,0.0,0.7871
6,Very luxury furniture shop with very friendly and helpful people especially Din that assisted us to get what we need.  Highly recommended place to get high quality furnitures with good price.. 👍🏽👍🏽👍🏽,0.29100000000000004,0.7090000000000001,0.0,0.65915
7,"this is a nice and cozy place. staff are not pushy in selling the furniture, and readily answers all questions you have on the product. will recommend to anyone who wants to have chic design furniture.",0.2643333333333333,0.7356666666666667,0.0,0.39486666666666664
8,Sylvia has been phenomenal in helping me getting my dream furniture. Thank you so much!! So happy with the purchase experience.,0.423,0.5770000000000001,0.0,0.5264
9,"Kester, assisted us and he is very helpful and friendly. The whole experience with Castlery was great! I like the ambience, the staff and of course their products. Recommended!",0.5225,0.47750000000000004,0.0,0.51335
10,A great range of quality products. The Castlery showroom provides a calm and quiet space to browse a range of home furnishing. Came in to buy a couch and found that this was an easy task which was a welcome surprise as we thought it might …,0.31733333333333336,0.6826666666666666,0.0,0.5779
11,"The staff was very friendly and helpful! They took time to listen and give advice. We bought a sofa, tv console, dining table and would love to buy more furniture from here next time!",0.24933333333333332,0.7506666666666666,0.0,0.4408
